,Date,Local,Visitor,Links,GoalsLocal,GoalsVisitor
0,2018-08-17,Girona,Valladolid,https://fbref.com/en/matches/82b4ca95/Girona-Valladolid-August-17-2018-La-Liga,0,0
1,2018-08-17,Betis,Levante,https://fbref.com/en/matches/9fe3febe/Real-Betis-Levante-August-17-2018-La-Liga,0,3
2,2018-08-18,Celta Vigo,Espanyol,https://fbref.com/en/matches/a8d60ff6/Celta-Vigo-Espanyol-August-18-2018-La-Liga,1,1
3,2018-08-18,Villarreal,Real Sociedad,https://fbref.com/en/matches/aeeb77fc/Villarreal-Real-Sociedad-August-18-2018-La-Liga,1,2
4,2018-08-18,Barcelona,Alavés,https://fbref.com/en/matches/e95b2588/Barcelona-Alaves-August-18-2018-La-Liga,3,0
5,2018-08-19,Eibar,Huesca,https://fbref.com/en/matches/446f0d99/Eibar-Huesca-August-19-2018-La-Liga,1,2
6,2018-08-19,Rayo Vallecano,Sevilla,https://fbref.com/en/matches/d1aa3271/Rayo-Vallecano-Sevilla-August-19-2018-La-Liga,1,4
7,2018-08-19,Real Madrid,Getafe,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga,2,0
8,2018-08-20,Valencia,Atlético Madrid,https://fbref.com/en/matches/1202acb1/Valencia-Atletico-Madrid-August-20-2018-La-Liga,1,1
9,2018-08-20,Athletic Bilbao,Leganés,https://fbref.com/en/matches/95ac7d44/Athletic-Bilbao-Leganes-August-20-2018-La-Liga,2,1
10,2018-08-24,Getafe,Eibar,https://fbref.com/en/matches/aed2b90b/Getafe-Eibar-August-24-2018-La-Liga,2,0
11,2018-08-24,Leganés,Real Sociedad,https://fbref.com/en/matches/75220ead/Leganes-Real-Sociedad-August-24-2018-La-Liga,2,2
12,2018-08-25,Alavés,Betis,https://fbref.com/en/matches/31b10b4c/Alaves-Real-Betis-August-25-2018-La-Liga,0,0
13,2018-08-25,Atlético Madrid,Rayo Vallecano,https://fbref.com/en/matches/9dafff66/Atletico-Madrid-Rayo-Vallecano-August-25-2018-La-Liga,1,0
14,2018-08-25,Valladolid,Barcelona,https://fbref.com/en/matches/262193b3/Valladolid-Barcelona-August-25-2018-La-Liga,0,1
15,2018-08-26,Espanyol,Valencia,https://fbref.com/en/matches/9c6a2f94/Espanyol-Valencia-August-26-2018-La-Liga,2,0
16,2018-08-26,Sevilla,Villarreal,https://fbref.com/en/matches/ec7274c0/Sevilla-Villarreal-August-26-2018-La-Liga,0,0
17,2018-08-26,Girona,Real Madrid,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga,1,4
18,2018-08-27,Levante,Celta Vigo,https://fbref.com/en/matches/37c34100/Levante-Celta-Vigo-August-27-2018-La-Liga,1,2
19,2018-08-27,Athletic Bilbao,Huesca,https://fbref.com/en/matches/0d234b90/Athletic-Bilbao-Huesca-August-27-2018-La-Liga,2,2
20,2018-08-31,Getafe,Valladolid,https://fbref.com/en/matches/3505425b/Getafe-Valladolid-August-31-2018-La-Liga,0,0
21,2018-08-31,Eibar,Real Sociedad,https://fbref.com/en/matches/e9a96548/Eibar-Real-Sociedad-August-31-2018-La-Liga,2,1
22,2018-08-31,Villarreal,Girona,https://fbref.com/en/matches/d376ad57/Villarreal-Girona-August-31-2018-La-Liga,0,1
23,2018-09-01,Celta Vigo,Atlético Madrid,https://fbref.com/en/matches/612c7914/Celta-Vigo-Atletico-Madrid-September-1-2018-La-Liga,2,0
24,2018-09-01,Real Madrid,Leganés,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga,4,1
25,2018-09-02,Levante,Valencia,https://fbref.com/en/matches/8b8f19c0/Levante-Valencia-September-2-2018-La-Liga,2,2
26,2018-09-02,Alavés,Espanyol,https://fbref.com/en/matches/efc2a670/Alaves-Espanyol-September-2-2018-La-Liga,2,1
27,2018-09-02,Barcelona,Huesca,https://fbref.com/en/matches/0b6d40c5/Barcelona-Huesca-September-2-2018-La-Liga,8,2
28,2018-09-02,Betis,Sevilla,https://fbref.com/en/matches/386b9a82/Real-Betis-Sevilla-September-2-2018-La-Liga,1,0
29,2018-09-14,Huesca,Rayo Vallecano,https://fbref.com/en/matches/3b452df0/Huesca-Rayo-Vallecano-September-14-2018-La-Liga,0,1
30,2018-09-15,Atlético Madrid,Eibar,https://fbref.com/en/matches/4bd8f1d5/Atletico-Madrid-Eibar-September-15-2018-La-Liga,1,1
31,2018-09-15,Real Sociedad,Barcelona,https://fbref.com/en/matches/afa6f343/Real-Sociedad-Barcelona-September-15-2018-La-Liga,1,2
32,2018-09-15,Valencia,Betis,https://fbref.com/en/matches/91a61918/Valencia-Real-Betis-September-15-2018-La-Liga,0,0
33,2018-09-15,Athletic Bilbao,Real Madrid,https://fbref.com/en/matches/bb5953f9/Athletic-Bilbao-Real-Madrid-September-15-2018-La-Liga,1,1
34,2018-09-16,Leganés,Villarreal,https://fbref.com/en/matches/6c8c4d1a/Leganes-Villarreal-September-16-2018-La-Liga,0,1
35,2018-09-16,Espanyol,Levante,https://fbref.com/en/matches/1fe6901f/Espanyol-Levante-September-16-2018-La-Liga,1,0
36,2018-09-16,Valladolid,Alavés,https://fbref.com/en/matches/6e8f0e3e/Valladolid-Alaves-September-16-2018-La-Liga,0,1
37,2018-09-16,Sevilla,Getafe,https://fbref.com/en/matches/a12e422c/Sevilla-Getafe-September-16-2018-La-Liga,0,2
38,2018-09-17,Girona,Celta Vigo,https://fbref.com/en/matches/bcf15aba/Girona-Celta-Vigo-September-17-2018-La-Liga,3,2
39,2018-09-21,Huesca,Real Sociedad,https://fbref.com/en/matches/271adbd0/Huesca-Real-Sociedad-September-21-2018-La-Liga,0,1
40,2018-09-22,Rayo Vallecano,Alavés,https://fbref.com/en/matches/aa996107/Rayo-Vallecano-Alaves-September-22-2018-La-Liga,1,5
41,2018-09-22,Eibar,Leganés,https://fbref.com/en/matches/4c66f244/Eibar-Leganes-September-22-2018-La-Liga,1,0
42,2018-09-22,Celta Vigo,Valladolid,https://fbref.com/en/matches/68974e33/Celta-Vigo-Valladolid-September-22-2018-La-Liga,3,3
43,2018-09-22,Getafe,Atlético Madrid,https://fbref.com/en/matches/33165f42/Getafe-Atletico-Madrid-September-22-2018-La-Liga,0,2
44,2018-09-22,Real Madrid,Espanyol,https://fbref.com/en/matches/b5e24bc9/Real-Madrid-Espanyol-September-22-2018-La-Liga,1,0
45,2018-09-23,Levante,Sevilla,https://fbref.com/en/matches/6e11f898/Levante-Sevilla-September-23-2018-La-Liga,2,6
46,2018-09-23,Villarreal,Valencia,https://fbref.com/en/matches/6999b1a0/Villarreal-Valencia-September-23-2018-La-Liga,0,0
47,2018-09-23,Betis,Athletic Bilbao,https://fbref.com/en/matches/6830d52f/Real-Betis-Athletic-Bilbao-September-23-2018-La-Liga,2,2
48,2018-09-23,Barcelona,Girona,https://fbref.com/en/matches/96e8cb92/Barcelona-Girona-September-23-2018-La-Liga,2,2
49,2018-09-25,Espanyol,Eibar,https://fbref.com/en/matches/c188683e/Espanyol-Eibar-September-25-2018-La-Liga,1,0
50,2018-09-25,Real Sociedad,Rayo Vallecano,https://fbref.com/en/matches/61b8b4da/Real-Sociedad-Rayo-Vallecano-September-25-2018-La-Liga,2,2
51,2018-09-25,Atlético Madrid,Huesca,https://fbref.com/en/matches/206bfcf0/Atletico-Madrid-Huesca-September-25-2018-La-Liga,3,0
52,2018-09-26,Athletic Bilbao,Villarreal,https://fbref.com/en/matches/48a26407/Athletic-Bilbao-Villarreal-September-26-2018-La-Liga,0,3
53,2018-09-26,Leganés,Barcelona,https://fbref.com/en/matches/2ffc9376/Leganes-Barcelona-September-26-2018-La-Liga,2,1
54,2018-09-26,Sevilla,Real Madrid,https://fbref.com/en/matches/16bb809b/Sevilla-Real-Madrid-September-26-2018-La-Liga,3,0
55,2018-09-26,Valencia,Celta Vigo,https://fbref.com/en/matches/e90af81c/Valencia-Celta-Vigo-September-26-2018-La-Liga,1,1
56,2018-09-27,Alavés,Getafe,https://fbref.com/en/matches/5be74cda/Alaves-Getafe-September-27-2018-La-Liga,1,1
57,2018-09-27,Valladolid,Levante,https://fbref.com/en/matches/b83a53c3/Valladolid-Levante-September-27-2018-La-Liga,2,1
58,2018-09-27,Girona,Betis,https://fbref.com/en/matches/a9c4da3e/Girona-Real-Betis-September-27-2018-La-Liga,0,1
59,2018-09-28,Rayo Vallecano,Espanyol,https://fbref.com/en/matches/592e74ab/Rayo-Vallecano-Espanyol-September-28-2018-La-Liga,2,2
60,2018-09-29,Real Sociedad,Valencia,https://fbref.com/en/matches/34c786e8/Real-Sociedad-Valencia-September-29-2018-La-Liga,0,1
61,2018-09-29,Barcelona,Athletic Bilbao,https://fbref.com/en/matches/104beba1/Barcelona-Athletic-Bilbao-September-29-2018-La-Liga,1,1
62,2018-09-29,Eibar,Sevilla,https://fbref.com/en/matches/d97aedf7/Eibar-Sevilla-September-29-2018-La-Liga,1,3
63,2018-09-29,Real Madrid,Atlético Madrid,https://fbref.com/en/matches/d2d44529/Real-Madrid-Atletico-Madrid-September-29-2018-La-Liga,0,0
64,2018-09-30,Huesca,Girona,https://fbref.com/en/matches/8bfabe21/Huesca-Girona-September-30-2018-La-Liga,1,1
