,Date,Local,GoalsLocal,GoalsVisitor,Visitor
7,2018-08-19,Real Madrid,2,0,Getafe
24,2018-09-01,Real Madrid,4,1,Leganés
44,2018-09-22,Real Madrid,1,0,Espanyol
63,2018-09-29,Real Madrid,0,0,Atlético Madrid
80,2018-10-20,Real Madrid,1,2,Levante
101,2018-11-03,Real Madrid,2,0,Valladolid
134,2018-12-01,Real Madrid,2,0,Valencia
153,2018-12-15,Real Madrid,1,0,Rayo Vallecano
177,2019-01-06,Real Madrid,0,2,Real Sociedad
191,2019-01-19,Real Madrid,2,0,Sevilla
218,2019-02-03,Real Madrid,3,0,Alavés
235,2019-02-17,Real Madrid,1,2,Girona
254,2019-03-02,Real Madrid,0,1,Barcelona
272,2019-03-16,Real Madrid,2,0,Celta Vigo
289,2019-03-31,Real Madrid,3,2,Huesca
301,2019-04-06,Real Madrid,2,1,Eibar
327,2019-04-21,Real Madrid,3,0,Athletic Bilbao
357,2019-05-05,Real Madrid,3,2,Villarreal
378,2019-05-19,Real Madrid,0,2,Betis
