,Date,Local,GoalsLocal,GoalsVisitor,Visitor
17,2018-08-26,Girona,1,4,Real Madrid
33,2018-09-15,Athletic Bilbao,1,1,Real Madrid
54,2018-09-26,Sevilla,3,0,Real Madrid
72,2018-10-06,Alavés,1,0,Real Madrid
97,2018-10-28,Barcelona,5,1,Real Madrid
119,2018-11-11,Celta Vigo,2,4,Real Madrid
121,2018-11-24,Eibar,3,0,Real Madrid
146,2018-12-09,Huesca,0,1,Real Madrid
169,2019-01-03,Villarreal,2,2,Real Madrid
188,2019-01-13,Betis,1,2,Real Madrid
208,2019-01-27,Espanyol,2,4,Real Madrid
222,2019-02-09,Atlético Madrid,1,3,Real Madrid
248,2019-02-24,Levante,1,2,Real Madrid
269,2019-03-10,Valladolid,1,4,Real Madrid
296,2019-04-03,Valencia,2,1,Real Madrid
319,2019-04-15,Leganés,1,1,Real Madrid
339,2019-04-25,Getafe,0,0,Real Madrid
348,2019-04-28,Rayo Vallecano,1,0,Real Madrid
367,2019-05-12,Real Sociedad,3,1,Real Madrid
