,Date,Local,GoalsLocal,GoalsVisitor,Visitor
8,2018-08-20,Valencia,1,1,Atlético Madrid
32,2018-09-15,Valencia,0,0,Betis
55,2018-09-26,Valencia,1,1,Celta Vigo
78,2018-10-07,Valencia,1,1,Barcelona
81,2018-10-20,Valencia,1,1,Leganés
102,2018-11-03,Valencia,0,1,Girona
122,2018-11-24,Valencia,3,0,Rayo Vallecano
142,2018-12-08,Valencia,1,1,Sevilla
166,2018-12-23,Valencia,2,1,Huesca
182,2019-01-12,Valencia,1,1,Valladolid
203,2019-01-26,Valencia,3,0,Villarreal
226,2019-02-10,Valencia,0,0,Real Sociedad
236,2019-02-17,Valencia,0,0,Espanyol
258,2019-03-03,Valencia,2,0,Athletic Bilbao
278,2019-03-17,Valencia,0,0,Getafe
296,2019-04-03,Valencia,2,1,Real Madrid
318,2019-04-14,Valencia,3,1,Levante
344,2019-04-28,Valencia,0,1,Eibar
364,2019-05-12,Valencia,3,1,Alavés
